split,task_id,demo_pairs,input_cells,distinct_colours
training,00576224,2,4.0,6
training,007bbfb7,5,9.0,5
training,009d5c81,5,196.0,3
training,00d62c1b,5,147.2,2
training,00dbd492,4,131.0,2
training,017c7c7b,3,18.0,2
training,025d127b,2,99.0,4
training,03560426,3,100.0,7
training,045e512c,3,441.0,8
training,0520fde7,3,21.0,3
training,05269061,3,49.0,6
training,05a7bcf2,3,900.0,4
training,05f2a901,3,108.66666666666667,3
training,0607ce86,3,484.0,6
training,0692e18c,3,9.0,4
training,06df4c85,3,486.0,7
training,070dd51e,2,400.0,9
training,08ed6ac7,2,81.0,2
training,09629e4f,4,121.0,7
training,0962bcdd,2,144.0,5
training,09c534e7,3,541.3333333333334,6
training,0a1d4ef5,3,900.0,10
training,0a2355a6,4,164.75,2
training,0a938d79,4,200.25,6
training,0b148d64,3,368.6666666666667,6
training,0b17323b,2,225.0,2
training,0bb8deee,3,181.0,7
training,0becf7df,3,100.0,9
training,0c786b71,3,12.0,8
training,0c9aba6e,4,52.0,4
training,0ca9ddb6,3,81.0,5
training,0d3d703e,4,9.0,8
training,0d87d2a6,3,260.6666666666667,3
training,0e206a2e,3,228.66666666666666,6
training,0e671a1a,4,169.0,4
training,0f63c0b9,4,225.0,8
training,103eff5b,2,288.0,6
training,10fcaaa3,4,12.75,5
training,11852cab,3,100.0,6
training,1190bc91,3,72.0,10
training,1190e5a7,3,358.3333333333333,4
training,11dc524f,3,169.0,3
training,11e1fe23,2,126.0,6
training,12422b43,5,52.8,9
training,12997ef3,4,121.0,7
training,12eac192,4,44.25,5
training,13713586,3,267.0,8
training,137eaa0f,3,121.0,9
training,137f0df0,3,100.0,2
training,13f06aa5,3,163.66666666666666,6
training,140c817e,3,123.66666666666667,4
training,14754a24,4,262.5,3
training,1478ab18,3,64.0,2
training,14b8e18c,3,100.0,3
training,150deff5,3,83.66666666666667,2
training,15113be4,3,529.0,6
training,15660dd6,2,499.5,10
training,15663ba9,3,191.0,4
training,15696249,4,9.0,5
training,17829a00,2,256.0,5
training,178fcbfb,3,90.33333333333333,4
training,17b80ad2,4,162.75,10
training,17b866bd,2,296.0,5
training,17cae0c1,4,27.0,2
training,18286ef8,3,144.33333333333334,10
training,182e5d0f,3,131.33333333333334,4
training,18419cfa,3,347.3333333333333,3
training,18447a8d,3,143.0,8
training,184a9768,3,441.0,8
training,195ba7dc,4,65.0,3
training,1990f7a8,3,374.6666666666667,2
training,19bb5feb,3,219.66666666666666,7
training,1a07d186,3,264.0,6
training,1a244afd,3,140.0,3
training,1a2e2828,5,91.4,8
training,1a6449f1,3,397.3333333333333,10
training,1acc24af,4,144.0,3
training,1b2d62fb,5,35.0,3
training,1b59e163,2,324.0,7
training,1b60fb0c,3,100.0,2
training,1b8318e3,3,183.33333333333334,10
training,1be83260,2,364.0,6
training,1bfc4729,2,100.0,5
training,1c02dbbe,3,225.0,7
training,1c0d0a4b,3,87.66666666666667,2
training,1c56ad9f,4,210.5,5
training,1c786137,3,332.3333333333333,9
training,1caeab9d,3,66.66666666666667,4
training,1cf80156,3,132.0,4
training,1d0a4b61,3,625.0,6
training,1d398264,3,241.66666666666666,9
training,1d61978c,2,256.0,2
training,1da012fc,2,349.0,8
training,1e0a9b12,3,25.666666666666668,9
training,1e32b0e9,3,289.0,5
training,1e5d6875,2,64.0,3
training,1e81d6f9,3,225.0,10
training,1efba499,3,152.0,9
training,1f0c79e5,4,81.0,6
training,1f642eb9,3,100.0,9
training,1f85a75f,2,900.0,6
training,1f876c06,3,100.0,8
training,1fad071e,3,81.0,3
training,2013d3e2,2,100.0,9
training,2037f2c7,3,561.3333333333334,7
training,2072aba6,3,9.0,2
training,20818e16,3,225.0,8
training,20981f0e,3,213.66666666666666,3
training,20fb2937,2,220.0,10
training,212895b5,3,336.6666666666667,3
training,21f83797,2,169.0,2
training,2204b7a8,3,100.0,8
training,22168020,3,100.0,6
training,22208ba4,4,231.0,6
training,22233c11,3,100.0,2
training,22425bda,4,137.25,9
training,22806e14,3,256.0,5
training,2281f1f4,3,100.0,2
training,228f6490,3,100.0,9
training,22a4bbc2,4,72.5,3
training,22eb0ac0,3,100.0,9
training,230f2e48,3,102.66666666666667,4
training,234bbc79,4,31.5,7
training,23581191,2,81.0,3
training,239be575,6,37.0,3
training,23b5c85d,5,223.0,8
training,25094a63,2,900.0,5
training,252143c9,2,85.0,8
training,253bf280,8,75.0,2
training,2546ccf6,2,332.5,6
training,256b0a75,3,513.3333333333334,10
training,25c199f5,5,85.0,4
training,25d487eb,3,158.0,5
training,25d8a9c8,4,9.0,7
training,25e02866,2,226.0,6
training,25ff71a9,4,9.0,3
training,2601afb7,3,83.66666666666667,8
training,264363fd,3,900.0,7
training,2685904e,6,100.0,10
training,2697da3f,4,58.0,2
training,272f95fa,2,255.0,2
training,2753e76c,3,256.0,6
training,278e5215,3,205.0,8
training,27a28665,7,9.0,5
training,27a77e38,3,27.666666666666668,10
training,27f8ce4f,4,9.0,9
training,281123b4,6,76.0,6
training,28bf18c6,3,64.0,4
training,28e73c20,5,118.8,1
training,292dd178,3,90.66666666666667,4
training,29623171,3,121.0,5
training,29700607,3,163.33333333333334,7
training,29c11459,2,55.0,5
training,2a28add5,2,100.0,10
training,2a5f8217,3,79.33333333333333,7
training,2b01abd0,3,131.33333333333334,8
training,2b9ef948,3,700.0,6
training,2bcee788,4,100.0,6
training,2bee17df,3,129.33333333333334,3
training,2c0b0aff,4,530.25,3
training,2c608aff,4,162.0,6
training,2c737e39,3,118.0,7
training,2ccd9fef,2,247.5,5
training,2dc579da,3,65.0,5
training,2dd70a9a,3,241.66666666666666,4
training,2de01db2,3,30.0,6
training,2dee498d,3,29.0,6
training,2e65ae53,2,484.0,7
training,2f0c5170,3,421.3333333333333,6
training,2f767503,3,132.66666666666666,4
training,2faf500b,3,154.66666666666666,3
training,305b1341,3,400.0,8
training,30f42897,3,57.666666666666664,4
training,310f3251,5,14.0,6
training,3194b014,3,400.0,10
training,319f2597,3,400.0,10
training,31aa019c,3,100.0,10
training,31adaf00,3,100.0,2
training,31d5ba1a,5,30.0,3
training,320afe60,3,454.6666666666667,2
training,321b1fc6,2,100.0,6
training,32597951,3,289.0,3
training,32e9702f,3,40.666666666666664,4
training,33067df9,4,44.0,5
training,332202d5,3,256.0,10
training,332efdb3,3,51.666666666666664,1
training,3345333e,2,256.0,5
training,337b420f,4,85.0,9
training,3391f8c0,4,115.25,6
training,33b52de3,2,529.0,7
training,3428a4f5,4,65.0,3
training,342ae2ed,3,256.0,8
training,342dd610,4,100.0,5
training,3490cc26,4,533.5,3
training,34b99a2b,4,45.0,4
training,34cfa167,2,510.0,6
training,351d6448,2,195.0,5
training,358ba94e,4,286.25,5
training,3618c87e,3,25.0,3
training,363442ee,3,117.0,10
training,36d67576,3,169.0,5
training,36fdfd69,3,252.0,5
training,37ce87bb,3,57.333333333333336,3
training,37d3e8b2,3,294.6666666666667,2
training,3906de3d,3,100.0,3
training,396d80d7,2,256.0,5
training,3979b1a8,2,25.0,5
training,39a8645d,3,196.0,6
training,39e1d7f9,3,678.0,6
training,3a301edc,5,208.6,7
training,3aa6fb7a,2,49.0,2
training,3ac3eb23,2,51.0,4
training,3ad05f52,3,646.6666666666666,5
training,3af2c5a8,3,12.0,3
training,3b4c2228,5,38.6,3
training,3bd292e8,3,54.0,2
training,3bd67248,3,94.33333333333333,4
training,3bdb4ada,2,200.0,5
training,3befdf3e,3,100.0,7
training,3c9b0459,4,9.0,7
training,3cd86f4f,3,33.333333333333336,7
training,3d31c5b3,6,72.0,5
training,3d588dc9,2,256.0,7
training,3d6c6e23,3,191.0,4
training,3de23699,4,135.25,6
training,3e980e27,4,169.0,6
training,3eda0437,4,72.5,3
training,3ee1011a,3,536.3333333333334,8
training,3f23242b,2,178.0,2
training,3f7978a0,3,107.66666666666667,3
training,4093f84a,3,196.0,5
training,40f6cd08,3,870.0,7
training,412b6263,3,45.0,3
training,414297c0,3,334.6666666666667,7
training,41ace6b5,3,123.66666666666667,5
training,41e4d17e,2,225.0,2
training,423a55dc,5,108.4,5
training,4258a5f9,2,81.0,2
training,4290ef0e,3,289.6666666666667,8
training,42918530,4,361.0,9
training,42a15761,3,115.66666666666667,2
training,42a50994,4,188.5,5
training,42f14c03,3,256.0,6
training,42f83767,3,270.0,7
